"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"N[23]" 1967.59 988.873 639.125 1330.75 1780.5 2397.5 4459.275 1.002 2600
"N[24]" 193.603 99.103 56.186 124.45 173.95 242.125 440.332 1.002 3000
"N[25]" 503.51 346.244 109.495 276.4 428.65 644.05 1316.075 1.001 3000
"N[26]" 291.711 164.51 79.253 178.8 259.8 362.125 711.6 1.001 3000
"N[27]" 167.908 102.199 37.299 95.377 145.8 216.2 416.327 1.001 2000
"N[28]" 40.137 45.208 2.746 12.585 26.64 52.187 152.93 1.005 470
"N[29]" 12.767 17.882 0.291 2.893 7.005 15.842 57.157 1.018 130
"N[30]" 4.725 9.321 0.014 0.387 1.581 4.777 30.171 1.03 100
"N[31]" 0.715 3.01 0 0 0.011 0.18 6.703 1.047 73
"Ntot" 11497.264 1801.768 8586.775 10240 11310 12542.499 15610.25 1.001 3000
"sd.N" 2.069 0.928 0.901 1.45 1.871 2.464 4.261 1.017 140
"sd.Ne" 0.882 0.249 0.499 0.71 0.849 1.011 1.462 1.002 1400
"deviance" 6047.426 45.861 5961 6017 6046 6077 6141 1.001 3000
