"year","stream","data_type","count","lcl","ucl"
2020,"deer creek","upstream_estimate",90,NA,NA
2020,"deer creek","holding_count",40,NA,NA
2009,"feather river","redd_count",352,NA,NA
2010,"feather river","redd_count",1118,NA,NA
2011,"feather river","redd_count",1863,NA,NA
2012,"feather river","redd_count",2161,NA,NA
2012,"feather river","carcass_estimate",72590,71744,73465
2013,"feather river","redd_count",1097,NA,NA
2013,"feather river","carcass_estimate",146441,136156,148205
2014,"feather river","redd_count",1901,NA,NA
2014,"feather river","carcass_estimate",62034,61148,64115
2015,"feather river","redd_count",2353,NA,NA
2015,"feather river","carcass_estimate",20382,20156,20759
2016,"feather river","redd_count",1570,NA,NA
2016,"feather river","carcass_estimate",38781,38280,39385
2017,"feather river","redd_count",2722,NA,NA
2017,"feather river","carcass_estimate",10536,10132,10847
2018,"feather river","redd_count",4156,NA,NA
2018,"feather river","carcass_estimate",57369,NA,NA
2019,"feather river","redd_count",5044,NA,NA
2019,"feather river","carcass_estimate",51967,50922,53004
2020,"feather river","redd_count",5432,NA,NA
2020,"feather river","carcass_estimate",42969,42452,44504
2021,"feather river","carcass_estimate",9688,9273,10079
2022,"feather river","carcass_estimate",6573,6334,6800
1997,"mill creek","redd_count",101,NA,NA
1998,"mill creek","redd_count",212,NA,NA
1999,"mill creek","redd_count",280,NA,NA
2000,"mill creek","redd_count",272,NA,NA
2001,"mill creek","redd_count",550,NA,NA
2002,"mill creek","redd_count",797,NA,NA
2003,"mill creek","redd_count",713,NA,NA
2004,"mill creek","redd_count",499,NA,NA
2005,"mill creek","redd_count",575,NA,NA
2006,"mill creek","redd_count",501,NA,NA
2007,"mill creek","redd_count",460,NA,NA
2008,"mill creek","redd_count",181,NA,NA
2009,"mill creek","redd_count",110,NA,NA
2010,"mill creek","redd_count",241,NA,NA
2011,"mill creek","redd_count",183,NA,NA
2012,"mill creek","redd_count",271,NA,NA
2013,"mill creek","redd_count",600,NA,NA
2014,"mill creek","P2S_modeled_count",221,193,251
2014,"mill creek","upstream_estimate",679,NA,NA
2014,"mill creek","redd_count",220,NA,NA
2015,"mill creek","P2S_modeled_count",58,45,74
2015,"mill creek","upstream_estimate",127,NA,NA
2015,"mill creek","redd_count",58,NA,NA
2016,"mill creek","P2S_modeled_count",48,36,63
2016,"mill creek","upstream_estimate",175,NA,NA
2016,"mill creek","redd_count",47,NA,NA
2017,"mill creek","P2S_modeled_count",128,108,152
2017,"mill creek","upstream_estimate",98,NA,NA
2017,"mill creek","redd_count",129,NA,NA
2018,"mill creek","P2S_modeled_count",73,58,91
2018,"mill creek","upstream_estimate",51,NA,NA
2018,"mill creek","redd_count",76,NA,NA
2019,"mill creek","P2S_modeled_count",90,73,109
2019,"mill creek","upstream_estimate",80,NA,NA
2019,"mill creek","redd_count",90,NA,NA
2020,"mill creek","P2S_modeled_count",40,29,53
2020,"mill creek","upstream_estimate",73,NA,NA
2020,"mill creek","redd_count",40,NA,NA
2004,"yuba river","upstream_estimate",1618,NA,NA
2005,"yuba river","upstream_estimate",5274,NA,NA
2006,"yuba river","upstream_estimate",1456,NA,NA
2007,"yuba river","upstream_estimate",353,NA,NA
2008,"yuba river","upstream_estimate",1320,NA,NA
2009,"yuba river","upstream_estimate",2616,NA,NA
2010,"yuba river","upstream_estimate",3737,NA,NA
2011,"yuba river","upstream_estimate",2360,NA,NA
2011,"yuba river","redd_count",489,NA,NA
2012,"yuba river","upstream_estimate",2289,NA,NA
2012,"yuba river","redd_count",95,NA,NA
2013,"yuba river","upstream_estimate",4046,NA,NA
2013,"yuba river","redd_count",190,NA,NA
2014,"yuba river","upstream_estimate",2021,NA,NA
2014,"yuba river","redd_count",140,NA,NA
2014,"yuba river","carcass_estimate",2569,NA,NA
2015,"yuba river","upstream_estimate",235,NA,NA
2015,"yuba river","redd_count",78,NA,NA
2015,"yuba river","carcass_estimate",1652,NA,NA
2016,"yuba river","redd_count",86,NA,NA
2017,"yuba river","redd_count",45,NA,NA
2018,"yuba river","upstream_estimate",281,NA,NA
2018,"yuba river","redd_count",199,NA,NA
2019,"yuba river","redd_count",175,NA,NA
2019,"yuba river","carcass_estimate",678,NA,NA
2020,"yuba river","upstream_estimate",1337,NA,NA
2020,"yuba river","redd_count",427,NA,NA
2020,"yuba river","carcass_estimate",395,NA,NA
2021,"yuba river","upstream_estimate",1669,NA,NA
