par_names,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,stream
devre[1],0.2491367885938756,1.7412450112116537e-4,0.04443049769951486,0.17159298615918525,0.2181436922968044,0.24583189338208156,0.27641003472792114,0.3459208263331026,65109.23399799964,0.999985724244534,battle creek
devre[2],0.25484534291480915,1.5207878164604887e-4,0.035553121220628287,0.19094578186379563,0.23002618531456753,0.2527836579020601,0.2774157818116219,0.3301787968845967,54653.5300389999,1.0000254122053212,battle creek
devre[3],0.21822744159097981,2.0201364375577475e-4,0.03613813874318883,0.15523473309863817,0.19335452224367933,0.2157221305216032,0.2397808240838481,0.2971160404484114,32001.48689330202,1.0000986663151106,battle creek
devre[4],0.23806894210360077,1.7615022639949176e-4,0.045349450095805585,0.15913007121024506,0.2062466838076371,0.23463794598305937,0.26604353644847467,0.33696187333700695,66279.25818065053,0.9999980772955318,battle creek
devre[5],0.3033618296915645,2.988228603875857e-4,0.05961736772978953,0.20492091167003695,0.2617753834205902,0.29710924274201855,0.33762396531842265,0.43707733540597826,39803.19703760016,1.000034898347228,battle creek
devre[6],0.2790480881239827,2.622475139943472e-4,0.044799609939163224,0.20279135300261597,0.24829269466457032,0.27496814041053025,0.3054290158629734,0.37825927874885423,29182.7157867684,1.000149601551176,battle creek
devre[7],0.31691810278259397,1.7428293465469855e-4,0.03786396789338787,0.24871955410048022,0.2907238762235089,0.31473640275104975,0.34056882580337344,0.397585980678083,47200.056452276425,1.000071960118039,battle creek
devre[8],0.2890671097060462,2.0359147494060132e-4,0.05014895094090052,0.20160126175857956,0.25390498971109454,0.28510690836555974,0.3199270089541537,0.39877587064422615,60674.265503900526,1.0000286982170334,battle creek
devre[9],0.33303576561240317,1.989199396133151e-4,0.04492586953343351,0.2529177136708284,0.30140075453770987,0.3304875426353684,0.3612749771474636,0.4290624243631331,51007.771009241456,1.0000830356396642,battle creek
devre[10],0.3006911537703889,1.8790384140779693e-4,0.04325677776418852,0.22443455957342495,0.2701803542714182,0.29774967665850066,0.3281161043770618,0.3934764349656431,52995.258304308954,1.0000138401499254,battle creek
devre[11],0.18804197762353925,1.7315723792957094e-4,0.033674902314366296,0.12858056272425966,0.1648863517473899,0.18587300295545178,0.20896576913362278,0.2602748879924369,37820.85911819751,1.0000440756447158,battle creek
devre[12],0.24113303110309522,1.1798479389719333e-4,0.022575670161908715,0.1994330276098068,0.22575998629153687,0.24021367608359326,0.25561659121940883,0.2882652140139669,36612.48663007605,1.0000633491791047,battle creek
devre[13],0.15498650838509365,8.644194535454108e-5,0.018505377339212564,0.12081230314160228,0.14216969935749343,0.154267717747075,0.16701426070491185,0.19315413658234407,45829.68014620668,1.0001265949910707,battle creek
devre[14],0.2086219023387942,1.1498169547317263e-4,0.02472128187868045,0.16336025949238359,0.19146192676158186,0.20756506907656352,0.22444883723822098,0.2603378908486405,46225.81284023743,1.0000994885257877,battle creek
devre[15],0.14031859789831738,1.2151985244595891e-4,0.028013982644612124,0.08974498681671177,0.12058869276282322,0.13876791963565097,0.15837742699330448,0.19942001479215013,53144.12286382371,1.0000684892314786,battle creek
devre[16],0.17607744495401492,1.2700140310371554e-4,0.030592617948472376,0.1202893921847191,0.15481386354235555,0.17441584512470137,0.19566014522149489,0.24052183950657882,58025.14683743463,1.0000383180974572,battle creek
devre[17],0.1790458998699867,1.9623273003632687e-4,0.04766751548515152,0.09533920356930031,0.14572584316606046,0.17579827606545878,0.20819110584369788,0.28288479141487766,59006.810571521324,0.9999891865031797,battle creek
devre[18],0.27068218886235723,2.0541835902640078e-4,0.05201990201114548,0.18122689380203846,0.23417233822748984,0.26638304651084976,0.3026224140493324,0.38438942305197593,64129.897896133756,0.999972324795116,battle creek
devre[19],0.2948850712345977,2.9965121908396934e-4,0.06460471042468915,0.18976230842992714,0.24967274350694577,0.28757192955527083,0.33184930214614444,0.4423214980529348,46483.22702178721,0.9999646315114304,battle creek
musurv,0.2473037388260488,4.127163301135458e-5,0.01027452495850593,0.2277799172358297,0.2402469672621788,0.24707084142202707,0.2540577447291662,0.2680889811363209,61975.52246935108,1.0000595198010571,battle creek
mudevre,0.24401016774526532,3.9799449074871436e-5,0.009777860372766636,0.22537726514751433,0.23733595576734218,0.24384450586558087,0.2504541303528791,0.26373135502482725,60357.819474950724,1.0000197534174238,battle creek
R2_data,0.9644591653046886,8.088890086967701e-5,0.014345203351571498,0.9296765690580726,0.9569655605086134,0.9668886579651655,0.9746251317112372,0.9852645084705871,31451.07900867052,1.0001090234238588,battle creek
R2_fixed,0.27652293348534923,0.0010779446523693163,0.19114160449005313,-0.13933937835637253,0.1760665459484984,0.2921301655838758,0.4015467167105826,0.5841384426461197,31442.533321371597,1.000075208306327,battle creek
nom,0.09093592259470867,2.052298216946654e-4,0.03326072601445066,0.04273185660114867,0.06864809228811591,0.08633332800871013,0.10713709071267022,0.1664047954153462,26265.308964234846,1.0000136480119062,battle creek
denom,0.1282504843123327,1.8776722576492952e-4,0.040506166683988286,0.06634322466069817,0.09981035738087773,0.12238251429485933,0.15011430210964288,0.2246581710924488,46537.463827781816,1.0000501694450779,battle creek
SSres,954.2152944616984,2.1717392690336363,385.14605966861336,395.62468099916435,681.2751479717716,888.987252568935,1155.4067512287434,1888.0730837945264,31451.079008671364,1.0001090234238594,battle creek
lp__,2976.661112615356,0.02408716870197789,3.6438859244074258,2968.6146053841708,2974.4417670578223,2977.0230882883193,2979.278606488198,2982.745366957145,22885.37516110874,0.9999792889927205,battle creek
